filename,filepath,parent_folder,main_category,sub_category,brand,hierarchy,depth
7965307.5291.jpg,images\ut-zap50k\Boots\Ankle\A. Testoni\7965307.5291.jpg,A. Testoni,Boots,Ankle,A. Testoni,Boots/Ankle/A. Testoni,3
7999255.363731.jpg,images\ut-zap50k\Boots\Ankle\A. Testoni\7999255.363731.jpg,A. Testoni,Boots,Ankle,A. Testoni,Boots/Ankle/A. Testoni,3
8000978.364150.jpg,images\ut-zap50k\Boots\Ankle\A. Testoni\8000978.364150.jpg,A. Testoni,Boots,Ankle,A. Testoni,Boots/Ankle/A. Testoni,3
8030969.3.jpg,images\ut-zap50k\Boots\Ankle\adidas\8030969.3.jpg,adidas,Boots,Ankle,adidas,Boots/Ankle/adidas,3
8030970.107722.jpg,images\ut-zap50k\Boots\Ankle\adidas\8030970.107722.jpg,adidas,Boots,Ankle,adidas,Boots/Ankle/adidas,3
8070145.388249.jpg,images\ut-zap50k\Boots\Ankle\adidas Kids\8070145.388249.jpg,adidas Kids,Boots,Ankle,adidas Kids,Boots/Ankle/adidas Kids,3
8070146.388250.jpg,images\ut-zap50k\Boots\Ankle\adidas Kids\8070146.388250.jpg,adidas Kids,Boots,Ankle,adidas Kids,Boots/Ankle/adidas Kids,3
8027274.372160.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals\8027274.372160.jpg,adidas Originals,Boots,Ankle,adidas Originals,Boots/Ankle/adidas Originals,3
8027274.372161.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals\8027274.372161.jpg,adidas Originals,Boots,Ankle,adidas Originals,Boots/Ankle/adidas Originals,3
8027310.115329.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals\8027310.115329.jpg,adidas Originals,Boots,Ankle,adidas Originals,Boots/Ankle/adidas Originals,3
8027310.183092.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals\8027310.183092.jpg,adidas Originals,Boots,Ankle,adidas Originals,Boots/Ankle/adidas Originals,3
8027320.372147.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals\8027320.372147.jpg,adidas Originals,Boots,Ankle,adidas Originals,Boots/Ankle/adidas Originals,3
8027320.372178.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals\8027320.372178.jpg,adidas Originals,Boots,Ankle,adidas Originals,Boots/Ankle/adidas Originals,3
8025627.371498.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals Kids\8025627.371498.jpg,adidas Originals Kids,Boots,Ankle,adidas Originals Kids,Boots/Ankle/adidas Originals Kids,3
8025627.74095.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals Kids\8025627.74095.jpg,adidas Originals Kids,Boots,Ankle,adidas Originals Kids,Boots/Ankle/adidas Originals Kids,3
8025719.11196.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals Kids\8025719.11196.jpg,adidas Originals Kids,Boots,Ankle,adidas Originals Kids,Boots/Ankle/adidas Originals Kids,3
8025719.371523.jpg,images\ut-zap50k\Boots\Ankle\adidas Originals Kids\8025719.371523.jpg,adidas Originals Kids,Boots,Ankle,adidas Originals Kids,Boots/Ankle/adidas Originals Kids,3
7921322.358199.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7921322.358199.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983346.358226.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983346.358226.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983348.358223.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983348.358223.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983348.358224.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983348.358224.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983350.354291.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983350.354291.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983350.358221.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983350.358221.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983405.358200.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983405.358200.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983412.335422.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983412.335422.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983412.349428.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983412.349428.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983412.358200.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983412.358200.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983412.383032.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983412.383032.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983412.383035.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983412.383035.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983892.358487.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983892.358487.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
7983892.358488.jpg,images\ut-zap50k\Boots\Ankle\adidas Outdoor\7983892.358488.jpg,adidas Outdoor,Boots,Ankle,adidas Outdoor,Boots/Ankle/adidas Outdoor,3
8013427.367386.jpg,images\ut-zap50k\Boots\Ankle\adidas Y-3 by Yohji Yamamoto\8013427.367386.jpg,adidas Y-3 by Yohji Yamamoto,Boots,Ankle,adidas Y-3 by Yohji Yamamoto,Boots/Ankle/adidas Y-3 by Yohji Yamamoto,3
8013428.367386.jpg,images\ut-zap50k\Boots\Ankle\adidas Y-3 by Yohji Yamamoto\8013428.367386.jpg,adidas Y-3 by Yohji Yamamoto,Boots,Ankle,adidas Y-3 by Yohji Yamamoto,Boots/Ankle/adidas Y-3 by Yohji Yamamoto,3
8035264.374777.jpg,images\ut-zap50k\Boots\Ankle\adidas Y-3 by Yohji Yamamoto\8035264.374777.jpg,adidas Y-3 by Yohji Yamamoto,Boots,Ankle,adidas Y-3 by Yohji Yamamoto,Boots/Ankle/adidas Y-3 by Yohji Yamamoto,3
8028671.3.jpg,images\ut-zap50k\Boots\Ankle\Aetrex\8028671.3.jpg,Aetrex,Boots,Ankle,Aetrex,Boots/Ankle/Aetrex,3
8028671.6.jpg,images\ut-zap50k\Boots\Ankle\Aetrex\8028671.6.jpg,Aetrex,Boots,Ankle,Aetrex,Boots/Ankle/Aetrex,3
8004039.396.jpg,images\ut-zap50k\Boots\Ankle\Agatha Ruiz De La Prada Kids\8004039.396.jpg,Agatha Ruiz De La Prada Kids,Boots,Ankle,Agatha Ruiz De La Prada Kids,Boots/Ankle/Agatha Ruiz De La Prada Kids,3
